MatchID,StatName,StatValue
g_1_zTgyEAHp,MatchDate,23.05.2021 20:45
g_1_zTgyEAHp,HomeTeam,Atalanta
g_1_zTgyEAHp,AwayTeam,AC Milan
g_1_zTgyEAHp,Goals,"0
-
2"
g_1_zTgyEAHp,Home: Posiadanie piłki,68%
g_1_zTgyEAHp,Away: Posiadanie piłki,32%
g_1_zTgyEAHp,Home: Sytuacje bramkowe,11
g_1_zTgyEAHp,Away: Sytuacje bramkowe,7
g_1_zTgyEAHp,Home: Strzały na bramkę,1
g_1_zTgyEAHp,Away: Strzały na bramkę,3
g_1_zTgyEAHp,Home: Strzały niecelne,7
g_1_zTgyEAHp,Away: Strzały niecelne,2
g_1_zTgyEAHp,Home: Strzały zablokowane,3
g_1_zTgyEAHp,Away: Strzały zablokowane,2
g_1_zTgyEAHp,Home: Rzuty wolne,11
g_1_zTgyEAHp,Away: Rzuty wolne,16
g_1_zTgyEAHp,Home: Rzuty rożne,3
g_1_zTgyEAHp,Away: Rzuty rożne,0
g_1_zTgyEAHp,Home: Spalone,1
g_1_zTgyEAHp,Away: Spalone,0
g_1_zTgyEAHp,Home: Interwencje bramkarzy,1
g_1_zTgyEAHp,Away: Interwencje bramkarzy,1
g_1_zTgyEAHp,Home: Faule,17
g_1_zTgyEAHp,Away: Faule,11
g_1_zTgyEAHp,Home: Czerwone kartki,1
g_1_zTgyEAHp,Away: Czerwone kartki,0
g_1_zTgyEAHp,Home: Żółte kartki,3
g_1_zTgyEAHp,Away: Żółte kartki,2
g_1_zTgyEAHp,Home: Podania celne,553
g_1_zTgyEAHp,Away: Podania celne,194
g_1_zTgyEAHp,Home: Bloki,21
g_1_zTgyEAHp,Away: Bloki,27
g_1_zTgyEAHp,Home: Ataki,141
g_1_zTgyEAHp,Away: Ataki,72
g_1_h8jCJWgN,MatchDate,23.05.2021 20:45
g_1_h8jCJWgN,HomeTeam,Bologna
g_1_h8jCJWgN,AwayTeam,Juventus
g_1_h8jCJWgN,Goals,"1
-
4"
g_1_h8jCJWgN,Home: Posiadanie piłki,44%
g_1_h8jCJWgN,Away: Posiadanie piłki,56%
g_1_h8jCJWgN,Home: Sytuacje bramkowe,18
g_1_h8jCJWgN,Away: Sytuacje bramkowe,19
g_1_h8jCJWgN,Home: Strzały na bramkę,5
g_1_h8jCJWgN,Away: Strzały na bramkę,11
g_1_h8jCJWgN,Home: Strzały niecelne,8
g_1_h8jCJWgN,Away: Strzały niecelne,5
g_1_h8jCJWgN,Home: Strzały zablokowane,5
g_1_h8jCJWgN,Away: Strzały zablokowane,3
g_1_h8jCJWgN,Home: Rzuty wolne,18
g_1_h8jCJWgN,Away: Rzuty wolne,9
g_1_h8jCJWgN,Home: Rzuty rożne,3
g_1_h8jCJWgN,Away: Rzuty rożne,0
g_1_h8jCJWgN,Home: Spalone,3
g_1_h8jCJWgN,Away: Spalone,1
g_1_h8jCJWgN,Home: Interwencje bramkarzy,7
g_1_h8jCJWgN,Away: Interwencje bramkarzy,4
g_1_h8jCJWgN,Home: Faule,7
g_1_h8jCJWgN,Away: Faule,16
g_1_h8jCJWgN,Home: Żółte kartki,1
g_1_h8jCJWgN,Away: Żółte kartki,2
